name	steps	pitch_classes	n_scale_degrees
Ionian (maj)	WWHWWWH	"0, 2, 4, 5, 7, 9, 11"	7
Dorian	WHWWWHW	"0, 2, 3, 5, 7, 9, 10"	7
Phrygian	HWWWHWW	"0, 1, 3, 5, 7, 8, 10"	7
Lydian	WWWHWWH	"0, 2, 4, 6, 7, 9, 11"	7
Mixolydian	WWHWWHW	"0, 2, 4, 5, 7, 9, 10"	7
Aeolian (min)	WHWWHWW	"0, 2, 3, 5, 7, 8, 10"	7
Locrian	HWWHWWW	"0, 1, 3, 5, 6, 8, 10"	7
Major locrian	WWHHWWW	"0, 2, 4, 5, 6, 8, 10"	7
Harmonic minor	WHWWH(3H)H	"0, 2, 3, 5, 7, 8, 11"	7
Super-locrian (aka altered)	HWHWWWW	"0, 1, 3, 4, 6, 8, 10"	7